# Data file for cluster-median problem
# Generated from: ./datasets/2d-3c-no123.arff
# Sampled: 10.0% of original data (seed=42)

param m := 71;
param k := 3;

param d:
                1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71 :=
  1     0.000000    2.139277    0.530670    1.868514    1.579242    0.190399    1.424524    1.115271    1.051038    1.484815    0.505081    1.995167    0.930842    0.587188    0.764254    0.639680    0.618747    1.774363    1.919904    0.231971    1.679136    0.849577    1.011879    1.530403    1.693432    0.416558    1.786498    0.884613    1.197488    0.281831    1.301034    1.685748    2.243315    1.948581    2.425763    2.115065    2.099669    1.636638    1.469111    2.359480    2.154791    2.143427    2.288740    1.476978    1.087732    1.712786    2.366786    1.479039    2.325068    2.408499    2.302873    2.236395    1.150110    1.189480    2.443126    1.648785    2.155410    1.429180    1.806142    2.600471    1.619939    2.789179    2.181192    2.126182    2.454088    1.545709    2.711078    1.664723    1.568628    2.654805    1.319484
  2     2.139277    0.000000    2.036359    0.693910    0.654920    2.137016    1.028193    1.028637    1.844076    0.835553    1.647444    0.323853    1.353842    2.441082    1.708747    2.230294    1.558679    0.416484    0.244881    2.368810    0.506220    2.794130    1.139689    0.950319    0.533363    1.819734    0.370239    1.516541    1.038368    2.259774    2.942359    3.038652    3.095870    2.969493    3.362535    3.103246    3.077240    2.916389    3.112124    3.404733    3.079372    3.413704    3.175650    2.839915    2.619085    3.018683    3.374333    2.865825    3.332879    3.493546    3.235945    3.225598    2.803279    2.823416    3.304603    3.126873    3.211012    2.923540    3.103646    3.418984    2.914911    4.728488    3.890310    3.989824    4.232402    3.392144    4.371139    3.519612    3.508395    4.457266    3.345394
  3     0.530670    2.036359    0.000000    1.609118    1.402379    0.350278    1.133806    1.041347    0.544093    1.563664    0.520140    1.823128    0.686509    0.409930    0.361316    0.212551    0.807186    1.739859    1.853111    0.613261    1.535604    0.760759    0.925028    1.243779    1.526806    0.308999    1.666335    0.548995    1.287998    0.364125    0.987634    1.272808    1.746746    1.466945    1.948041    1.634870    1.616994    1.197619    1.166942    1.899425    1.665601    1.728909    1.798601    1.052714    0.696411    1.286554    1.899659    1.063317    1.856512    1.958430    1.820419    1.761153    0.832619    0.863703    1.954168    1.279645    1.689591    1.052146    1.382931    2.109876    1.184310    2.702832    1.941080    1.978547    2.257866    1.375176    2.458369    1.502987    1.474261    2.475715    1.315452
  4     1.868514    0.693910    1.609118    0.000000    0.371662    1.807052    0.476269    0.839708    1.279816    1.076526    1.368403    0.370258    0.949856    2.016357    1.249817    1.771136    1.411458    0.772052    0.707309    2.077641    0.416078    2.359627    0.902704    0.367441    0.344493    1.477370    0.486912    1.060330    1.104252    1.906860    2.403771    2.431922    2.420514    2.315774    2.688227    2.440784    2.414481    2.303863    2.562401    2.739776    2.411056    2.776835    2.501259    2.247824    2.083317    2.404732    2.706289    2.276514    2.665878    2.830655    2.564182    2.559549    2.279066    2.292559    2.625411    2.539272    2.552640    2.352242    2.483820    2.734997    2.305147    4.215219    3.322978    3.465208    3.674298    2.884351    3.779236    3.008839    3.029339    3.901007    2.913306
  5     1.579242    0.654920    1.402379    0.371662    0.000000    1.544830    0.393267    0.491313    1.190633    0.730378    1.074256    0.423355    0.715929    1.811355    1.062444    1.588471    1.070991    0.518649    0.536633    1.799752    0.155993    2.163128    0.574508    0.346405    0.124957    1.216881    0.297929    0.868425    0.733030    1.657879    2.288435    2.388523    2.491063    2.341587    2.754542    2.482385    2.456826    2.268094    2.457566    2.784903    2.465071    2.773258    2.568862    2.187342    1.965015    2.370513    2.758082    2.212798    2.715630    2.871217    2.625084    2.607838    2.150676    2.170079    2.704917    2.473282    2.585739    2.268841    2.457086    2.828565    2.265855    4.080176    3.235399    3.338755    3.577841    2.743236    3.717152    2.870353    2.866335    3.802879    2.717536
  6     0.190399    2.137016    0.350278    1.807052    1.544830    0.000000    1.346688    1.108800    0.886055    1.540514    0.492352    1.966803    0.857410    0.427704    0.630460    0.449650    0.689713    1.793361    1.928811    0.285598    1.657999    0.732729    0.997493    1.455471    1.664125    0.330250    1.774971    0.778079    1.252482    0.136218    1.137593    1.505597    2.053217    1.759451    2.237327    1.926184    1.910543    1.452194    1.310021    2.173221    1.965145    1.964306    2.099073    1.294172    0.907249    1.530521    2.179582    1.297572    2.137649    2.223760    2.113880    2.048116    0.983727    1.021988    2.253606    1.476629    1.968186    1.254126    1.624647    2.410865    1.435943    2.699557    2.042868    2.014032    2.329395    1.421621    2.571520    1.544540    1.467720    2.535968    1.244435
  7     1.424524    1.028193    1.133806    0.476269    0.393267    1.346688    0.000000    0.550683    0.826746    1.025251    0.939081    0.746152    0.493800    1.540318    0.773815    1.295127    1.045650    0.902875    0.929713    1.623615    0.548234    1.883392    0.557173    0.110160    0.500560    1.020198    0.688404    0.585871    0.924879    1.440032    1.945312    2.011946    2.098119    1.949779    2.361354    2.089504    2.063894    1.888715    2.108754    2.391990    2.071814    2.386602    2.175764    1.816456    1.622705    1.990931    2.364913    1.843301    2.322509    2.478605    2.231829    2.214730    1.815440    1.831062    2.312362    2.105482    2.193499    1.908303    2.075513    2.437190    1.887584    3.752198    2.878996    3.004462    3.226436    2.417926    3.349895    2.543407    2.557555    3.452615    2.437231
  8     1.115271    1.028637    1.041347    0.839708    0.491313    1.108800    0.550683    0.000000    1.017088    0.586347    0.618879    0.887427    0.420329    1.432902    0.764020    1.247807    0.579703    0.699247    0.822576    1.342778    0.567718    1.784501    0.116422    0.609149    0.591470    0.796402    0.671275    0.601177    0.396481    1.233263    2.003431    2.190978    2.438814    2.235663    2.688490    2.392097    2.368408    2.084773    2.180526    2.689987    2.391782    2.615224    2.510104    1.975357    1.688355    2.185389    2.672693    1.995649    2.628749    2.768023    2.555653    2.522255    1.854028    1.880114    2.657860    2.244253    2.480856    2.024513    2.278624    2.796937    2.078071    3.743466    2.962916    3.019224    3.289999    2.416093    3.468435    2.543971    2.512100    3.510468    2.329622
  9     1.051038    1.844076    0.544093    1.279816    1.190633    0.886055    0.826746    1.017088    0.000000    1.602925    0.805951    1.572645    0.599557    0.859739    0.349380    0.593388    1.089679    1.643869    1.712794    1.157137    1.344270    1.156634    0.921496    0.923515    1.310723    0.688665    1.486261    0.425810    1.377294    0.907080    1.123973    1.201214    1.437643    1.219487    1.679168    1.377948    1.354811    1.085041    1.283736    1.674009    1.382410    1.606009    1.505099    0.996926    0.804417    1.187254    1.658322    1.022176    1.614251    1.751161    1.546194    1.508489    1.002082    1.013810    1.656388    1.282814    1.464226    1.081874    1.277112    1.801532    1.081069    2.936069    2.052276    2.185532    2.399939    1.609165    2.527099    1.732208    1.766348    2.626243    1.689366
 10     1.484815    0.835553    1.563664    1.076526    0.730378    1.540514    1.025251    0.586347    1.602925    0.000000    1.067143    0.898471    1.004247    1.922745    1.332725    1.775943    0.866091    0.422001    0.592527    1.714828    0.662554    2.262797    0.684078    1.032721    0.732415    1.277763    0.642353    1.183278    0.288374    1.675542    2.547725    2.765822    3.023527    2.821907    3.274346    2.978437    2.954730    2.663280    2.726651    3.276276    2.977730    3.196202    3.095392    2.547983    2.241398    2.763029    3.259034    2.566706    3.215094    3.354063    3.141564    3.108578    2.394336    2.423612    3.242443    2.809704    3.066999    2.586492    2.857165    3.380190    2.655720    4.234903    3.504329    3.530349    3.820452    2.928139    4.018689    3.054948    3.000017    4.036684    2.784801
 11     0.505081    1.647444    0.520140    1.368403    1.074256    0.492352    0.939081    0.618879    0.805951    1.067143    0.000000    1.491320    0.455118    0.855645    0.456703    0.729848    0.299026    1.301256    1.436753    0.727147    1.176945    1.197236    0.510634    1.041005    1.189144    0.215024    1.288630    0.474238    0.783168    0.621361    1.504458    1.785461    2.197641    1.939744    2.418200    2.106488    2.086401    1.702433    1.683589    2.384662    2.127161    2.237798    2.257131    1.564497    1.216412    1.795128    2.379599    1.577213    2.335750    2.449672    2.287306    2.235755    1.348481    1.381017    2.412158    1.799095    2.172826    1.571712    1.891589    2.564106    1.690654    3.168916    2.451558    2.463803    2.759494    1.862339    2.972705    1.988774    1.933802    2.973515    1.729029
