@RELATION 2d-3c-no123_raw

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL

@DATA
-0.499261,-0.061236
-1.513690,0.265446
-1.603210,0.362039
-1.699280,-0.384246
-2.299290,-0.358038
-1.634580,-0.129039
-1.482850,-0.450253
-1.566830,0.241292
-2.258320,-0.118366
-1.486950,-0.226327
-0.711746,-0.655026
-1.181490,-0.117645
-0.748501,0.039823
-1.546190,0.271163
-2.234120,-0.070718
-2.090350,-0.580596
-2.199180,-0.364972
-2.292640,-0.384073
-1.718230,-0.411015
-2.456560,-0.528023
-0.551482,-0.289495
-0.136403,-0.443648
-1.791090,-0.208190
-1.232990,-0.056685
-2.169650,-0.398822
-2.040450,0.429838
-1.683990,-0.201117
-1.464190,-0.044175
-1.136190,-0.892017
-1.510350,-0.921798
-1.505990,-0.752517
-1.237670,0.389077
-2.436650,-0.218041
-1.350690,-0.332300
-1.011490,-0.071411
-2.368430,-0.587694
-0.475282,-0.558479
-1.732500,-0.249313
-1.072240,-0.201785
-2.810790,-0.242085
-0.451435,-0.318935
-2.459310,-0.296224
-1.095730,0.178281
-0.798153,0.105336
-1.407040,-0.694274
-2.047480,0.124415
-0.388075,-0.210231
-2.452750,0.089488
-2.475120,0.228810
-0.777604,-0.128458
-1.618010,-0.215364
-2.346440,-0.129468
-0.587985,0.029759
-2.549210,-0.272282
-2.337730,0.265582
-1.084360,-0.233094
-1.723500,0.240157
-1.112000,-0.195613
-0.577581,-0.428117
-2.514680,-0.243910
-2.313010,-0.294402
-1.303930,0.114933
-1.178920,0.001621
-2.178780,-0.070375
-0.380086,0.278372
-0.685583,-0.466433
-0.450885,-0.596072
-1.081880,0.165561
-2.077140,-0.792300
-1.181830,-0.747411
-1.700540,-0.616073
-0.458942,-0.326455
-1.870410,0.173688
-2.182080,-0.276524
-0.726820,-0.283660
-1.446880,-0.309433
-0.425964,-0.395437
-1.790280,-0.371134
-1.059890,0.336678
-1.224230,0.385848
-1.012510,-0.044023
-2.189400,-0.800676
-0.610214,-0.166977
-1.199690,-0.296873
-1.177900,-0.460586
-1.236280,0.338048
-2.596170,0.000441
-0.523092,-0.189226
-2.269860,-0.701232
-0.920545,-0.253044
-2.271600,-0.153357
-1.269090,-0.701825
-1.349990,-0.188381
-0.491468,-0.439245
-0.866125,-0.535217
-0.948274,-0.422032
-0.856172,-0.081154
-1.463760,-0.106444
