@RELATION cpu_normalized

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL

@DATA
-0.303586,-0.675026,-0.495462,5.694208,1.661989,4.231033
-0.673330,1.326291,1.727049,0.167629,0.485509,0.529479
-0.673330,1.326291,1.727049,0.167629,0.485509,0.529479
-0.673330,1.326291,1.727049,0.167629,0.485509,0.529479
-0.673330,1.326291,0.359350,0.167629,0.485509,-0.087447
-0.684884,1.326291,1.727049,0.957141,0.485509,0.529479
-0.696438,3.393767,1.727049,0.957141,1.661989,0.529479
-0.696438,3.393767,1.727049,0.957141,1.661989,0.529479
-0.696438,3.393767,4.462448,0.957141,1.661989,0.529479
-0.696438,7.528719,4.462448,2.536163,4.014948,1.763330
0.755575,-0.482751,-0.751906,-0.621882,-0.543911,-0.627257
0.755575,-0.608867,-0.709165,-0.523193,-0.543911,-0.473026
-0.553933,-0.224316,-0.324500,0.981813,-0.543911,-0.395910
-0.592448,0.292553,0.359350,0.981813,-0.543911,-0.395910
0.563000,-0.724645,-1.002879,-0.621882,-0.543911,-0.550141
-0.014724,-0.608867,0.359350,-0.621882,-0.102731,0.529479
-0.141823,-0.605766,-0.837387,-0.424504,-0.102731,-0.126005
-0.234259,-0.608867,-0.580943,-0.621882,0.338449,0.529479
-0.234259,-0.482751,-0.837387,-0.621882,0.044329,-0.087447
-0.361359,0.550987,-0.580943,2.881574,0.485509,1.763330
-0.234259,-0.353533,-0.469818,-0.621882,0.044329,0.529479
-0.234259,0.059962,-0.478366,-0.621882,0.044329,0.066784
-0.234259,-0.146786,-0.478366,-0.621882,0.191389,1.763330
-0.361359,0.059962,-0.478366,-0.621882,0.191389,1.763330
0.447455,-0.708106,-0.495462,-0.621882,-0.543911,-0.241678
0.447455,-0.608867,-0.837387,-0.523193,-0.543911,-0.588699
0.447455,-0.675026,-0.495462,-0.621882,-0.543911,-0.473026
0.447455,-0.675026,-0.751906,-0.523193,-0.543911,-0.588699
0.447455,-0.608867,-0.580943,-0.523193,-0.543911,-0.511583
0.447455,-0.675026,-0.580943,-0.523193,-0.543911,-0.473026
-0.688735,-0.402636,-0.784389,2.610180,1.073749,0.221016
-0.688735,-0.402636,-0.784389,2.610180,1.073749,0.221016
-0.592448,-0.064087,-0.112506,0.118285,1.073749,0.221016
-0.592448,-0.064087,-0.112506,0.118285,1.073749,0.221016
-0.569339,0.613012,0.784192,0.118285,1.073749,0.221016
-0.538527,0.613012,0.784192,0.118285,1.073749,0.221016
